"path","language","lines","class","purpose","importance","used_by","depends_on"
"app/src/main/res/values/styles.xml","XML","23","Android values","App theme/styles","P2","App UI","Android resources"
"app/src/test/java/com/zui/zuicontrol/ZuiControlRequestTest.kt","Kotlin","66","ZuiControlRequestTest","unit tests for request/ACK protocol","P2","Gradle test task","JUnit; ZuiControlRequest"
"build.gradle.kts","Gradle Kotlin DSL","3","build.gradle","root AGP plugin version","P2","Gradle","AGP 9.0.0"
"docs/AI交接记录_ZuiControl_2026-07-21_当前主入口.txt","Text/Config","116","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/XML格式与鸣潮调参说明_2026-06-09.txt","Text/Config","341","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/ZuiControl_9008_AUTOMATION_GUIDE_2026-08-18.md","Markdown","177","Documentation/config","project handoff/history/release guidance","P2","maintainers and future AI","current source and device facts"
"docs/ZuiControl_AI_NEW_CHAT_HANDOFF_2026-07-21.md","Markdown","1452","Documentation/config","project handoff/history/release guidance","P2","maintainers and future AI","current source and device facts"
"docs/ZuiControl_HANDOFF_P2_MINGCHAO_XML_FIX_2026-06-24.md","Markdown","165","Documentation/config","project handoff/history/release guidance","P2","maintainers and future AI","current source and device facts"
"docs/ZuiControl_HANDOFF_P3_APPOPT_CLOUD_P2FIX_2026-06-24.md","Markdown","318","Documentation/config","project handoff/history/release guidance","P2","maintainers and future AI","current source and device facts"
"docs/ZuiControl_P2_XML_THERMALCONFIG_GUIDE_2026-07-21.md","Markdown","343","Documentation/config","project handoff/history/release guidance","P2","maintainers and future AI","current source and device facts"
"docs/按钮说明_2026-06-09_v5.txt","Text/Config","103","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/第一版实现记录_2026-06-08.txt","Text/Config","129","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/第三版应用档案与通知记录_2026-06-09.txt","Text/Config","22","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/第二版优化记录_2026-06-08.txt","Text/Config","115","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/第八版轻量化与界面优化记录_2026-06-09.txt","Text/Config","87","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/第十八版刷新率与保活修复记录_2026-06-11.txt","Text/Config","97","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/第四版实测与第五版修复记录_2026-06-09.txt","Text/Config","86","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"docs/系统级App与守护服务计划_2026-06-08.txt","Text/Config","562","Documentation/config","project handoff/history/release guidance","P3","maintainers and future AI","current source and device facts"
"framework-stubs/build.gradle.kts","Gradle Kotlin DSL","8","build.gradle","compile-only Java stub module","P2","app compile","Android library plugin"
"framework-stubs/src/main/java/android/zui/ZuiControlManager.java","Java","54","ZuiControlManager","compile-only framework API stub","P2","app compile","runtime framework implementation"
"framework_patch/src/framework/android/zui/ZuiControlManager.java","Java","138","ZuiControlManager","runtime framework Binder manager","P0","ZuiControlClient","ServiceManager; Parcel; zui_control"
"framework_patch/src/services/com/zui/server/control/ZuiControlHooks.java","Java","15","ZuiControlHooks","focused-app hook bridge into ZuiControlService","P0","patched DisplayContent.setFocusedApp","ActivityRecord; ZuiControlService"
"framework_patch/src/services/com/zui/server/control/ZuiControlService.java","Java","879","ZuiControlService","system_server scene state, profiles, Binder and display vote","P0","WindowManager hook; ZuiControlManager","DisplayManagerInternal; Settings; AtomicFile"
"framework_patch/stubs/android/hardware/display/DisplayManagerInternal.java","Java","8","DisplayManagerInternal","minimal javac-only framework stub","P2","local compile verification","Android framework signatures"
"framework_patch/stubs/android/os/ServiceManager.java","Java","13","ServiceManager","minimal javac-only framework stub","P2","local compile verification","Android framework signatures"
"framework_patch/stubs/android/os/SystemProperties.java","Java","10","SystemProperties","minimal javac-only framework stub","P2","local compile verification","Android framework signatures"
"framework_patch/stubs/android/util/AtomicFile.java","Java","24","AtomicFile","minimal javac-only framework stub","P2","local compile verification","Android framework signatures"
"framework_patch/stubs/com/android/server/LocalServices.java","Java","10","LocalServices","minimal javac-only framework stub","P2","local compile verification","Android framework signatures"
"framework_patch/stubs/com/android/server/wm/ActivityRecord.java","Java","9","ActivityRecord","minimal javac-only framework stub","P2","local compile verification","Android framework signatures"
"payload/README.txt","Text/Config","40","Documentation/config","payload integration notes","P3","release operator","payload contents"
"payload/patches/plat_file_contexts_add.txt","Text/Config","7","Documentation/config","SELinux context additions","P1","payload patcher and final verifier","Android SELinux contexts"
"payload/patches/plat_property_contexts_add.txt","Text/Config","2","Documentation/config","SELinux context additions","P1","payload patcher and final verifier","Android SELinux contexts"
"payload/patches/plat_sepolicy_zui_control.cil","SELinux CIL","55","SELinux policy","SELinux allow/type rules","P1","payload patcher and policy compiler","system_server; priv_app; shell; performanced"
"payload/patches/plat_service_contexts_add.txt","Text/Config","1","Documentation/config","SELinux context additions","P1","payload patcher and final verifier","Android SELinux contexts"
"payload/patches/vendor_sepolicy_zui_scheduler.cil","SELinux CIL","6","SELinux policy","SELinux allow/type rules","P1","payload patcher and policy compiler","system_server; priv_app; shell; performanced"
"payload/system/bin/AsoulOpt","ELF AArch64","0","Native executable","prebuilt thread-affinity/boost core","P0","Android init","/proc; /data/vendor/asopt.conf"
"payload/system/bin/uperf","ELF AArch64","0","Native executable","prebuilt Uperf scheduling core","P0","zui_uperf_service","kernel/sysfs; uperf JSON"
"payload/system/bin/zui_controld","Shell","596","Shell script/service","scheduler command, state and health daemon","P0","Android init; App Settings requests","settings; init; Uperf; AsoulOpt; vendor config"
"payload/system/bin/zui_uperf_service","Shell","46","Shell script/service","Uperf supervisor wrapper","P0","Android init","uperf executable; runtime config"
"payload/system/etc/default-permissions/default-permissions-zui-control.xml","XML","6","ROM permission XML","default runtime/special permission grants","P1","PermissionController","ZuiControl package"
"payload/system/etc/hosts","Config","2","hosts","ROM hosts payload","P3","payload patcher","system resolver"
"payload/system/etc/init/zui_controld.rc","Android init rc","14","init service definition","init lifecycle for ZuiControl daemon","P1","Android init","zui_controld; shell SELinux domain"
"payload/system/etc/init/zui_scheduler.rc","Android init rc","56","init service definition","init lifecycle for prepare, Uperf and AsoulOpt","P0","Android init","scheduler scripts/binaries; SELinux"
"payload/system/etc/permissions/privapp-permissions-zui-control.xml","XML","12","ROM permission XML","privileged permission allowlist","P1","PackageManager","ZuiControl package"
"payload/system/etc/zui_control/default_asopt.conf","Config","4","default_asopt","default asoulOpt mode/rt/opt","P1","scheduler prepare","AsoulOpt"
"payload/system/etc/zui_control/default_refresh_rules.prop","Properties","3","default_refresh_rules","default refresh profile seed","P3","payload integration","ZuiControlService"
"payload/system/etc/zui_control/default_uperf_perapp.txt","Text/Config","5","Documentation/config","default exact/screen-off Uperf rules","P1","scheduler prepare","zui_controld"
"payload/system/etc/zui_control/uperf-sm8650.json","JSON","653","uperf-sm8650","SM8650 CPU/WALT/core_ctl four-mode model","P0","Uperf","kernel nodes; power model"
"payload/system/etc/zui_control/zui_scheduler_prepare.sh","Shell","90","Shell script/service","prepare persistent scheduler directories/defaults/symlink","P0","zui_scheduler init service","system defaults; vendor data"
"scripts/ApplyZuiControlPayload.py","Python","516","ROM patch tool","apply App/system/init/SELinux payload to unpacked ROM","P0","release operator / CI","partition work tree; payload"
"scripts/BuildZuiControl.ps1","PowerShell","85","Release automation","local App build helper","P1","developer","Gradle; Android SDK"
"scripts/CleanupZuiControlReleaseWorkspace.ps1","PowerShell","76","Release automation","bounded release workspace cleanup","P1","release operator","known release directories"
"scripts/FlashZuiControl9008.ps1","PowerShell","140","Release automation","flash validated package through 9008 workflow","P1","release operator","qdlrs; device"
"scripts/PatchZuiControlFramework.py","Python","183","ROM patch tool","patch framework/services smali for zui_control","P0","release operator / CI","072 decompiled framework; framework_patch sources"
"scripts/PrepareZuiControl9008Package.ps1","PowerShell","190","Release automation","prepare fixed seven-entry 9008 package","P1","release operator","signed images; qdl tools"
"scripts/TestZuiControldTransactions.sh","Shell","162","Shell script/service","mocked daemon transaction regression test","P1","CI / developer","zui_controld functions"
"scripts/VerifyZuiControlFlashPackage.ps1","PowerShell","464","Release automation","verify final 9008 package and extracted super contents","P0","release operator","PackSuper tools; final images; payload expectations"
"settings.gradle.kts","Gradle Kotlin DSL","19","settings.gradle","project modules and repositories","P2","Gradle","app; framework-stubs"
"tools/PatchAsoulOptConfigPath.py","Python","37","ROM patch tool","fixed-length patch of AsoulOpt config path","P1","CI / payload preparation","AsoulOpt ELF"
